id,price,quantity,order_id,product_id,variation_id
1,60000,275,1,R7P9C,
2,60000,200,2,R7P9C,
3,60000,450,3,R7P9C,
4,60000,425,4,R7P9C,
5,60000,415,5,R7P9C,
6,60000,350,6,R7P9C,
7,60000,115,7,R7P9C,
8,60000,465,8,R7P9C,
9,60000,355,9,R7P9C,
10,60000,120,10,R7P9C,
11,60000,275,11,R7P9C,
12,60000,320,12,R7P9C,
13,60000,200,13,R7P9C,
14,60000,275,14,R7P9C,
15,60000,115,15,R7P9C,
16,60000,200,16,R7P9C,
17,60000,415,17,R7P9C,
18,60000,120,18,R7P9C,
19,60000,120,19,R7P9C,
20,60000,235,20,R7P9C,
21,60000,275,21,R7P9C,
22,60000,465,22,R7P9C,
23,60000,275,23,R7P9C,
24,60000,415,24,R7P9C,
25,60000,235,25,R7P9C,
26,60000,465,26,R7P9C,
27,60000,320,27,R7P9C,
28,60000,200,28,R7P9C,
29,60000,350,29,R7P9C,
30,60000,170,30,R7P9C,
31,60000,115,31,R7P9C,
32,60000,330,32,R7P9C,
33,60000,330,33,R7P9C,
34,60000,355,34,R7P9C,
35,60000,120,35,R7P9C,
36,60000,355,36,R7P9C,
37,60000,465,37,R7P9C,
38,60000,415,38,R7P9C,
39,60000,550,39,R7P9C,
40,60000,235,40,R7P9C,
41,60000,120,41,R7P9C,
42,60000,120,42,R7P9C,
43,60000,465,43,R7P9C,
44,60000,450,44,R7P9C,
45,60000,415,45,R7P9C,
46,60000,120,46,R7P9C,
47,60000,425,47,R7P9C,
48,60000,415,48,R7P9C,
49,60000,320,49,R7P9C,
50,60000,415,50,R7P9C,
51,60000,550,51,R7P9C,
52,60000,320,52,R7P9C,
53,60000,550,53,R7P9C,
54,60000,115,54,R7P9C,
55,60000,275,55,R7P9C,
56,60000,120,56,R7P9C,
57,60000,550,57,R7P9C,
58,60000,150,58,R7P9C,
59,60000,275,59,R7P9C,
60,60000,330,60,R7P9C,
61,60000,450,61,R7P9C,
62,60000,320,62,R7P9C,
63,60000,170,63,R7P9C,
64,60000,550,64,R7P9C,
65,60000,115,65,R7P9C,
66,60000,200,66,R7P9C,
67,60000,465,67,R7P9C,
68,60000,320,68,R7P9C,
69,60000,350,69,R7P9C,
70,60000,355,70,R7P9C,
71,60000,120,71,R7P9C,
72,60000,275,72,R7P9C,
73,60000,200,73,R7P9C,
74,60000,415,74,R7P9C,
75,60000,415,75,R7P9C,
76,60000,120,76,R7P9C,
77,60000,415,77,R7P9C,
78,60000,415,78,R7P9C,
79,60000,350,79,R7P9C,
80,60000,550,80,R7P9C,
81,60000,550,81,R7P9C,
82,60000,465,82,R7P9C,
83,60000,425,83,R7P9C,
84,60000,320,84,R7P9C,
85,60000,320,85,R7P9C,
86,60000,425,86,R7P9C,
87,60000,170,87,R7P9C,
88,60000,450,88,R7P9C,
89,60000,330,89,R7P9C,
90,60000,120,90,R7P9C,
91,60000,150,91,R7P9C,
92,60000,415,92,R7P9C,
93,60000,350,93,R7P9C,
94,60000,200,94,R7P9C,
95,60000,330,95,R7P9C,
96,60000,550,96,R7P9C,
97,60000,350,97,R7P9C,
98,60000,115,98,R7P9C,
99,60000,115,99,R7P9C,
100,60000,355,100,R7P9C,
101,60000,235,101,R7P9C,
102,60000,450,102,R7P9C,
103,60000,150,103,R7P9C,
104,60000,275,104,R7P9C,
105,60000,235,105,R7P9C,
106,60000,200,106,R7P9C,
107,60000,415,107,R7P9C,
108,60000,120,108,R7P9C,
109,60000,170,109,R7P9C,
110,60000,320,110,R7P9C,
111,60000,120,111,R7P9C,
112,60000,330,112,R7P9C,
113,60000,200,113,R7P9C,
114,60000,150,114,R7P9C,
115,60000,350,115,R7P9C,
116,60000,170,116,R7P9C,
117,60000,350,117,R7P9C,
118,60000,425,118,R7P9C,
119,60000,320,119,R7P9C,
120,60000,350,120,R7P9C,
121,60000,235,121,R7P9C,
122,60000,350,122,R7P9C,
123,60000,415,123,R7P9C,
124,60000,350,124,R7P9C,
125,60000,235,125,R7P9C,
126,60000,550,126,R7P9C,
127,60000,150,127,R7P9C,
128,60000,425,128,R7P9C,
129,60000,235,129,R7P9C,
130,60000,415,130,R7P9C,
131,60000,415,131,R7P9C,
132,60000,465,132,R7P9C,
133,60000,200,133,R7P9C,
134,60000,170,134,R7P9C,
135,60000,350,135,R7P9C,
136,60000,200,136,R7P9C,
137,60000,355,137,R7P9C,
138,60000,200,138,R7P9C,
139,60000,150,139,R7P9C,
140,60000,120,140,R7P9C,
141,60000,275,141,R7P9C,
142,60000,235,142,R7P9C,
143,60000,235,143,R7P9C,
144,60000,115,144,R7P9C,
145,60000,150,145,R7P9C,
146,60000,150,146,R7P9C,
147,60000,330,147,R7P9C,
148,60000,355,148,R7P9C,
149,60000,200,149,R7P9C,
150,60000,450,150,R7P9C,
151,60000,170,151,R7P9C,
152,60000,415,152,R7P9C,
153,60000,115,153,R7P9C,
154,60000,275,154,R7P9C,
155,60000,235,155,R7P9C,
156,60000,355,156,R7P9C,
157,60000,330,157,R7P9C,
158,60000,330,158,R7P9C,
159,60000,200,159,R7P9C,
160,60000,235,160,R7P9C,
161,60000,235,161,R7P9C,
162,60000,350,162,R7P9C,
163,60000,415,163,R7P9C,
164,60000,120,164,R7P9C,
165,60000,150,165,R7P9C,
166,60000,550,166,R7P9C,
167,60000,120,167,R7P9C,
168,60000,170,168,R7P9C,
169,60000,450,169,R7P9C,
170,60000,170,170,R7P9C,
171,60000,235,171,R7P9C,
172,60000,425,172,R7P9C,
173,60000,170,173,R7P9C,
174,60000,275,174,R7P9C,
175,60000,425,175,R7P9C,
176,60000,275,176,R7P9C,
